Overall,Finishing,Wage,Potential,Reactions,Weight,Value,Age,BallControl,Dribbling,Stamina,Vision,PreferredFoot,Height
83,68,7,89,79,35,96,22,81,82,77,83,1,13
78,66,35,78,76,11,183,31,82,82,79,76,1,7
78,70,2,78,80,24,173,30,78,76,84,77,1,1
76,59,15,83,78,25,173,20,77,76,80,75,1,11
82,81,39,82,77,28,59,26,82,78,83,84,1,12
79,72,25,80,75,15,15,25,82,79,94,78,1,8
79,68,29,86,77,27,26,21,84,80,85,77,1,14
79,63,29,86,75,31,26,22,78,78,82,75,1,11
85,87,35,88,85,24,134,25,84,85,80,77,1,10
77,57,25,77,78,21,91,32,77,70,76,75,1,1
78,77,33,83,77,31,15,22,77,77,76,75,0,14
79,49,25,80,77,29,195,25,78,77,83,63,1,9
79,58,15,79,76,24,144,32,76,77,88,65,1,9
77,71,35,78,73,30,194,26,75,78,92,73,1,13
84,78,1,84,80,32,78,27,83,84,86,78,1,12
78,78,35,78,76,24,184,28,79,79,83,76,1,7
89,81,20,90,85,25,176,25,91,93,77,86,1,9
80,76,35,80,73,28,23,29,80,84,73,78,1,1
79,70,29,84,73,22,15,23,77,76,88,69,1,11
82,65,1,82,81,28,33,27,77,78,90,70,1,1
86,85,10,86,85,22,112,29,80,80,90,77,1,11
79,67,15,82,72,28,23,24,78,79,89,78,0,9
78,63,3,79,72,11,195,26,79,83,89,72,0,10
81,46,3,82,85,23,33,26,80,73,86,79,0,2
75,53,8,75,76,16,83,29,77,74,82,75,0,10
78,73,29,78,76,33,159,29,80,74,80,75,1,11
77,55,29,84,74,26,184,22,82,77,79,82,1,2
76,70,33,76,78,28,118,28,82,73,66,80,1,10
88,70,22,88,88,19,114,32,93,90,62,94,1,8
77,73,21,77,75,26,183,26,76,77,72,73,1,11
79,60,25,84,75,21,15,24,73,76,90,64,1,11
79,59,3,79,72,27,183,30,74,72,83,64,1,1
80,74,5,81,75,30,36,26,78,82,81,65,1,2
75,67,2,75,70,34,46,32,75,74,78,69,0,1
85,82,12,89,79,25,136,24,91,90,71,84,1,10
80,74,6,85,76,22,42,23,84,87,74,80,0,10
86,87,12,86,92,26,130,26,82,75,90,81,1,12
87,88,4,87,87,31,141,27,82,82,79,77,1,13
79,73,35,79,81,24,202,30,81,83,75,74,1,9
84,66,33,84,84,24,62,32,83,75,76,83,0,11
74,70,21,79,72,32,122,24,74,76,80,68,1,12
85,76,37,85,76,28,97,29,90,89,73,87,1,10
78,67,21,85,76,9,20,20,78,76,77,80,1,7
75,68,15,77,66,21,118,26,77,71,82,82,0,2
82,64,1,83,81,26,42,26,79,75,90,73,1,12
83,54,33,83,82,23,24,31,79,77,89,72,1,2
83,73,1,83,83,29,65,27,87,88,68,86,1,13
74,51,0,74,75,23,0,31,74,71,75,69,1,10
75,72,25,75,76,21,86,31,77,74,79,78,1,1
87,84,10,87,87,31,102,32,89,91,68,83,0,2
81,75,25,81,69,26,31,27,83,75,76,84,1,2
78,63,15,85,77,34,10,21,73,66,93,72,1,13
77,63,25,77,79,29,158,30,74,65,78,69,1,11
78,67,29,78,71,22,184,27,82,73,86,82,1,8
79,57,37,83,78,18,17,23,83,84,77,70,0,8
79,62,3,82,82,32,10,25,78,78,90,65,0,13
77,58,1,77,78,27,159,28,76,71,86,72,1,1
83,52,4,84,79,31,60,26,71,69,81,57,0,13
79,63,33,80,79,25,15,26,80,78,78,80,1,1
78,53,8,84,75,31,14,21,75,76,89,68,1,11
79,54,33,82,78,31,10,25,75,74,91,58,0,13
73,59,15,73,69,31,46,27,72,69,69,66,0,1
82,81,39,90,83,31,95,20,83,81,88,82,1,13
75,65,2,80,75,27,144,23,77,76,80,72,1,11
82,72,15,82,75,39,33,28,80,67,79,74,1,16
80,63,35,80,83,34,159,33,80,74,91,66,1,13
82,78,3,82,76,21,42,28,85,84,76,67,1,11
80,67,29,88,82,21,59,21,82,81,81,76,0,2
73,66,21,73,71,26,47,26,74,74,81,73,0,9
81,75,39,84,77,31,59,24,83,86,82,81,0,2
83,84,5,83,86,37,62,30,77,74,87,70,1,14
78,75,21,78,77,33,159,28,78,71,76,73,1,11
73,64,15,73,74,32,50,29,73,67,81,70,1,10
80,81,35,81,81,29,31,26,82,79,67,70,0,2
80,65,0,80,83,37,0,28,84,85,71,81,1,12
77,55,37,83,74,36,195,22,81,78,79,76,1,11
83,60,1,83,81,39,34,29,74,70,79,65,0,13
75,60,25,80,74,24,144,24,76,74,76,74,1,2
80,69,21,80,82,32,23,29,80,81,74,81,0,12
79,70,29,79,80,25,14,28,77,79,80,74,1,11
75,61,2,75,82,23,163,35,82,66,71,77,0,10
78,74,29,78,74,12,184,27,77,76,73,76,0,6
81,61,35,81,80,21,21,27,72,72,93,76,1,1
83,79,1,83,75,25,60,29,86,91,71,80,0,1
77,69,21,77,80,26,144,28,75,76,88,64,1,10
89,90,22,89,88,21,162,28,89,89,74,83,1,9
80,64,4,85,76,19,33,24,80,74,79,80,1,1
77,56,29,77,77,29,122,31,74,69,80,73,1,12
77,43,15,80,74,27,173,24,78,75,77,65,0,2
77,74,21,80,74,27,184,25,78,79,80,69,1,2
80,80,33,84,81,26,42,23,81,79,88,80,0,1
76,50,21,76,74,30,119,27,74,73,79,67,0,2
75,63,21,75,72,27,91,28,75,73,89,74,1,10
77,72,21,77,71,30,183,28,80,82,81,79,1,2
76,68,21,76,70,28,158,27,75,70,86,80,1,11
79,56,21,84,78,15,15,21,76,77,77,70,0,9
77,64,2,82,74,23,194,23,81,75,76,77,1,1
75,51,15,78,71,24,121,23,76,72,84,72,1,9
81,55,21,82,80,26,33,26,81,74,84,70,0,12
81,69,33,81,85,25,30,30,82,78,79,82,1,1
81,57,39,84,75,23,34,25,77,78,91,72,1,2
86,88,11,93,85,24,154,22,91,91,83,84,0,1
76,62,25,82,73,21,172,21,76,74,80,70,1,1
79,56,35,79,78,26,173,29,73,72,90,71,0,11
77,77,15,83,76,33,195,23,78,73,86,73,1,12
80,49,4,80,85,25,202,31,76,73,76,66,1,1
74,56,38,75,75,19,90,26,72,68,89,74,1,10
75,67,29,75,76,30,2,34,77,70,79,58,1,11
76,65,21,77,72,17,172,24,77,80,72,73,1,6
82,54,3,85,75,18,53,25,75,77,87,64,1,10
75,65,15,80,70,37,124,22,75,72,83,71,1,14
75,43,15,75,73,16,7,33,75,74,66,67,0,6
78,57,15,78,73,23,183,27,80,71,88,63,1,1
82,76,24,82,77,20,42,28,88,87,80,78,0,10
73,56,2,73,71,28,46,27,75,73,70,64,0,10
76,60,25,77,74,31,158,26,76,70,74,71,1,11
77,49,29,78,75,22,159,26,74,78,83,68,1,8
81,84,39,81,84,27,31,29,76,75,90,72,1,1
77,64,33,78,70,28,194,25,83,80,74,77,1,2
77,65,4,77,68,22,144,28,72,81,59,69,0,1
75,64,25,76,72,24,124,25,77,74,84,70,1,11
80,62,8,81,78,25,33,26,85,80,77,83,1,9
77,52,8,77,75,27,144,27,73,74,91,64,1,13
75,58,25,83,72,21,172,20,78,76,88,74,1,10
73,59,25,73,68,19,44,30,68,59,82,63,1,2
79,63,29,79,75,21,172,32,78,73,90,72,1,10
79,52,4,84,76,25,15,22,79,73,81,72,0,1
80,61,37,81,79,21,33,26,80,73,83,77,1,1
77,69,8,77,72,30,183,27,78,76,74,85,1,11
74,61,21,81,70,15,124,22,75,75,82,73,1,9
75,57,29,75,71,24,86,27,70,71,87,70,1,10
78,69,33,78,80,17,183,31,76,75,89,79,1,8
80,56,33,81,73,31,21,25,74,73,81,69,1,13
74,64,25,74,65,31,84,29,80,80,72,64,1,12
76,66,21,76,72,30,126,29,77,69,78,74,0,11
80,58,33,80,79,33,14,30,79,72,90,58,1,13
82,81,29,82,84,20,36,31,83,87,76,83,1,10
79,42,15,79,74,23,184,26,76,67,82,56,0,10
74,65,2,74,72,26,84,28,77,75,88,77,1,1
76,66,25,78,73,20,159,24,75,75,80,74,0,10
76,65,8,82,75,21,183,22,78,79,85,75,0,10
73,56,25,73,68,23,82,30,78,80,68,64,1,9
81,71,33,86,74,21,65,23,86,87,79,78,1,10
75,55,15,75,74,23,120,25,73,73,81,69,0,8
78,73,21,78,79,41,173,30,77,66,91,74,1,15
75,68,21,75,77,39,84,28,73,71,85,72,1,13
77,55,29,77,79,31,172,26,76,74,92,70,1,12
82,33,25,82,78,27,117,35,75,74,69,62,0,10
86,76,7,90,82,27,150,24,86,84,88,89,1,2
75,56,40,83,72,21,144,21,75,71,90,66,1,1
77,64,21,84,74,26,14,21,81,79,76,74,1,1
74,69,21,74,72,18,45,31,75,68,74,67,1,7
75,73,21,75,75,28,118,27,76,73,73,73,0,12
77,65,29,80,74,26,184,25,79,79,79,76,0,1
81,80,33,82,81,25,42,25,79,82,82,76,1,11
75,57,2,80,76,15,123,20,79,78,83,77,0,1
78,71,25,78,70,25,183,31,82,75,67,80,1,11
77,55,21,77,74,24,144,27,75,72,91,70,0,11
74,62,21,74,74,31,87,26,72,72,77,69,0,11
79,73,21,79,78,19,194,32,78,80,76,81,1,8
76,61,29,76,75,25,143,29,75,74,74,76,1,1
75,40,21,75,72,36,83,29,76,76,77,70,0,11
82,76,24,82,79,15,42,28,85,87,70,79,1,9
76,77,15,76,79,31,144,27,78,73,83,75,1,12
74,68,8,79,73,20,90,23,76,78,82,69,1,8
74,60,8,77,70,20,86,25,75,74,82,70,0,1
82,80,1,90,81,27,81,20,84,88,80,70,1,11
78,49,2,87,81,22,15,20,79,81,82,60,0,10
77,57,21,77,79,23,144,28,79,65,72,79,1,10
82,72,39,85,75,23,74,23,84,88,69,73,1,9
74,69,33,74,73,22,117,30,76,74,74,76,0,9
77,50,2,77,75,21,158,30,76,77,82,67,1,2
77,56,15,82,73,21,194,24,76,75,91,70,1,9
79,44,29,83,77,24,17,24,75,72,88,68,1,11
79,77,33,84,77,25,21,22,79,78,76,77,0,11
82,64,29,82,76,31,24,30,74,62,79,63,1,2
79,53,25,79,72,13,194,28,78,69,82,57,0,8
79,57,35,79,80,27,173,29,78,78,87,70,0,2
75,60,15,78,74,21,158,24,76,77,74,62,1,10
73,56,25,73,73,21,51,28,72,69,80,68,1,1
75,54,8,78,73,34,158,24,74,69,89,72,1,12
78,66,15,81,77,23,10,24,82,73,91,82,1,12
82,78,37,83,81,19,63,26,82,84,74,81,1,9
77,68,8,77,73,23,47,35,77,75,55,80,0,8
82,59,33,83,82,31,37,27,75,72,88,76,1,12
85,75,12,85,81,26,101,27,86,87,86,83,1,10
74,61,19,74,79,33,47,30,71,72,72,61,0,9
79,62,21,85,78,29,26,21,80,81,78,80,0,13
86,73,11,89,81,19,145,24,88,88,79,87,1,8
79,54,21,79,80,29,184,31,81,73,84,75,1,1
78,65,29,79,75,31,194,27,76,71,84,65,1,13
79,74,33,79,78,26,184,31,78,74,82,80,1,1
82,50,1,83,81,23,42,26,79,75,88,72,1,10
73,60,25,73,70,20,82,30,79,78,65,69,0,9
77,58,15,82,78,32,194,23,76,77,88,68,1,11
78,27,29,80,75,14,184,25,75,73,92,60,0,8
76,65,37,79,68,16,144,23,81,77,85,58,0,8
79,63,25,85,73,31,20,24,76,58,80,75,1,10
79,74,25,80,75,25,15,25,81,80,79,79,0,1
84,41,10,87,81,24,92,24,83,76,84,57,1,9
76,70,21,77,78,27,172,26,77,73,79,73,1,11
81,58,6,87,68,28,65,22,87,88,78,88,1,1
83,86,37,83,85,21,65,29,80,76,75,76,1,9
77,67,25,82,72,34,202,24,75,74,77,80,1,11
82,59,4,82,85,25,172,34,80,71,69,85,1,13
80,81,8,80,82,27,20,31,85,85,86,73,1,2
77,62,15,84,77,18,184,22,82,84,78,77,1,10
78,62,29,78,74,23,173,30,87,89,69,78,1,1
76,67,4,76,78,21,121,26,82,81,66,70,1,1
72,60,32,80,74,19,50,20,72,69,90,69,1,1
78,55,29,80,77,26,184,25,73,72,86,71,1,1
77,60,15,77,76,31,183,27,80,80,78,77,1,2
85,88,6,90,85,37,140,22,82,77,84,72,1,13
76,74,21,76,73,28,144,27,78,80,74,72,1,11
69,61,8,69,68,24,187,27,75,73,77,60,0,8
77,61,1,77,73,27,159,29,76,74,89,79,1,2
73,70,38,73,73,17,1,35,74,73,72,76,1,10
72,70,21,72,69,19,6,29,72,66,80,66,0,1
77,69,15,78,69,19,194,25,75,74,78,80,1,10
75,51,21,75,70,34,83,32,77,74,71,74,0,12
82,65,33,84,82,16,63,25,82,86,88,83,1,1
72,58,25,73,68,31,82,26,73,76,80,60,1,1
79,64,33,86,76,26,26,22,83,82,77,81,1,2
79,56,29,82,80,31,10,26,73,73,81,72,1,11
77,61,21,77,81,22,172,30,79,69,78,80,1,1
77,64,8,78,74,31,159,27,75,72,75,64,1,13
75,50,21,75,74,39,118,27,75,69,79,70,1,12
83,64,15,83,82,26,42,27,82,72,86,77,1,14
80,82,8,80,76,34,18,31,78,78,68,78,0,11
76,50,29,76,74,26,143,28,75,76,81,68,1,10
83,56,15,86,77,34,69,24,77,77,89,69,1,13
76,66,25,76,69,16,84,33,77,71,73,78,1,9
81,81,25,81,85,27,31,28,83,81,78,84,0,2
85,45,5,86,84,42,97,27,70,61,75,64,1,13
73,62,2,73,74,29,4,34,72,68,84,71,1,11
75,64,2,75,77,23,86,31,79,74,76,76,1,10
75,63,25,75,74,22,91,28,75,71,70,76,1,2
75,70,8,75,75,30,86,31,75,74,59,78,0,11
73,51,21,78,73,26,85,24,73,73,79,71,1,11
74,58,21,74,71,29,83,24,73,67,81,64,1,1
76,50,29,82,77,29,183,23,77,71,83,67,0,1
81,40,4,81,80,23,183,33,75,74,84,59,1,10
75,57,2,75,73,26,85,27,76,74,85,70,1,11
75,61,40,75,76,18,87,31,78,79,85,71,1,8
74,64,15,79,73,33,91,23,76,75,76,73,1,2
74,56,8,77,71,21,118,25,76,79,89,74,1,10
77,51,15,77,78,21,144,27,79,77,85,63,1,10
70,65,15,70,72,30,4,26,70,70,85,67,1,14
77,58,35,77,80,23,144,31,77,76,86,75,1,9
79,71,37,79,75,27,195,30,82,80,71,76,1,2
81,75,35,81,77,24,34,25,82,82,73,81,1,9
73,69,13,73,76,25,7,32,75,74,74,77,1,12
76,74,35,76,73,33,124,30,76,72,65,81,0,12
75,59,15,80,70,31,123,23,74,73,79,70,0,10
88,55,14,88,85,43,136,27,77,68,66,79,1,14
76,66,25,85,76,33,194,21,79,77,79,73,1,13
82,81,4,85,78,26,74,24,83,85,83,77,1,10
79,44,39,84,77,26,15,20,76,79,78,65,0,12
78,60,33,78,72,27,194,30,85,83,73,81,0,11
80,69,25,85,82,15,42,21,84,85,91,81,1,9
82,31,37,82,80,22,33,28,74,68,88,72,1,8
73,53,15,80,65,19,87,22,71,73,90,72,0,7
75,58,21,75,75,23,90,29,75,69,80,74,1,10
77,57,29,77,74,31,159,28,76,72,76,76,1,2
76,65,21,79,73,27,159,25,76,72,86,76,1,2
74,58,15,75,68,23,84,26,70,62,87,65,0,10
74,43,8,74,74,21,50,27,76,76,78,63,1,9
79,70,4,79,78,36,194,28,82,72,84,74,1,15
76,58,33,76,74,21,85,31,76,78,79,68,1,11
79,80,25,86,72,30,30,23,76,76,80,76,1,2
75,76,21,80,77,31,144,23,77,71,88,76,1,13
74,61,8,74,73,30,87,25,74,75,83,70,1,1
78,81,33,81,75,32,10,25,76,75,83,72,1,11
77,68,19,77,80,29,47,35,80,67,60,71,0,1
74,59,15,74,74,26,51,31,77,70,56,76,0,10
77,73,21,83,75,17,195,23,79,75,80,75,1,10
76,53,39,77,68,17,126,26,75,76,83,68,0,8
73,54,15,79,72,22,86,22,73,76,86,60,0,12
74,65,21,74,73,29,49,28,73,75,83,67,1,11
76,68,8,76,75,28,122,31,79,75,72,75,1,2
77,68,15,82,75,31,195,22,82,80,82,76,0,11
81,69,39,86,77,27,65,22,86,85,74,81,1,13
76,59,29,76,69,18,89,30,71,68,90,63,1,2
81,58,21,84,84,26,36,26,75,64,84,79,1,11
75,69,25,78,74,22,158,25,75,72,79,74,1,13
75,69,0,75,69,26,0,37,83,77,67,75,1,11
81,82,15,81,77,26,159,35,80,80,68,75,1,1
79,73,0,83,79,14,0,22,79,80,81,78,0,10
77,45,35,78,71,23,159,25,71,72,85,77,1,1
74,68,15,74,74,22,83,29,76,76,73,72,0,2
75,54,15,75,74,21,85,27,71,73,83,59,1,1
72,64,8,72,71,16,6,28,78,78,82,51,0,1
73,65,25,80,71,21,118,21,76,72,83,70,0,9
76,65,2,76,70,26,120,27,73,70,78,58,1,2
76,53,29,84,73,17,173,21,78,71,76,82,1,9
73,55,25,76,75,22,87,25,75,75,65,72,0,10
75,62,21,78,79,27,158,25,72,65,89,72,1,12
80,55,29,81,77,27,23,27,75,67,88,65,1,13
72,66,8,73,69,27,82,26,72,71,75,73,0,1
74,59,2,74,68,12,49,28,65,62,85,52,1,9
70,75,8,70,76,22,2,24,73,76,74,71,1,8
81,71,15,84,82,21,57,23,82,80,74,88,0,2
80,52,21,80,81,28,184,32,78,76,81,80,1,10
70,60,36,70,68,23,200,29,70,71,91,71,1,1
78,54,33,78,78,27,184,27,80,70,80,78,1,12
76,57,21,76,75,28,90,30,76,63,79,65,1,1
75,59,40,85,72,26,158,19,75,73,74,74,1,2
74,64,19,74,74,19,51,27,77,72,84,75,1,2
73,69,25,73,77,18,52,27,74,68,84,69,1,8
74,62,25,74,74,19,48,29,75,75,76,69,0,8
76,54,21,76,75,17,117,32,75,77,82,68,1,9
77,73,21,77,80,23,183,27,78,72,81,84,1,1
